nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;6;0.568551;80;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;9;0.522265;79;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;12;0.5379;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;15;0.571256;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;18;0.590839;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;21;0.634742;78;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;24;0.563071;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;27;0.642457;78;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;30;0.610271;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;100;33;0.644946;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;3;0.843412;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;6;0.938368;80;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;9;0.907664;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;12;0.948127;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;15;0.9049;79;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;18;1.00308;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;21;1.06125;78;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;24;1.07656;82;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;27;0.952009;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;30;1.03898;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;2;60;33;1.15096;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;3;0.401527;79;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;6;0.393726;82;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;9;0.397756;79;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;12;0.410366;78;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;15;0.409246;79;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;18;0.417855;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;21;0.434288;80;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;24;0.446748;82;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;27;0.466809;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;30;0.488636;80;~3671;10.3208;30.9478
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;240;33;0.501901;80;~4427;10.3268;30.9629
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;3;0.384728;80;~105;10.2923;30.8766
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;6;0.391878;79;~215;10.2931;30.8787
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;9;0.393709;80;~395;10.2945;30.8823
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;12;0.420244;80;~647;10.2966;30.8873
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;15;0.410562;80;~971;10.2992;30.8938
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;18;0.42291;80;~1367;10.3023;30.9017
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;21;0.433138;78;~1835;10.3061;30.9111
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;24;0.447748;80;~2375;10.3104;30.9219
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;27;0.465917;80;~2987;10.3153;30.9341
valga,tapa,rapla;33_matrix_add_float;FIELD;maldishonest;mascot;NA;NA;NA;1.8;180;30;0.486313;82;~3671;10.3208;30.9478
