nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;input_size;packetdrops(%);runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;12.5949;NA;NA;0.246378;NA;4.8e-05;3;12.592;4.8e-05;3;12.595;NA;NA;NA;NA;NA;NA;0.24633;14041;12.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;61.362;NA;NA;0.246378;NA;4.8e-05;3;61.1707;4.8e-05;3;61.3608;NA;NA;NA;NA;NA;NA;0.24633;14041;61.0837;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;6;119.09;NA;NA;0.246378;NA;4.8e-05;3;119.088;4.8e-05;3;119.089;NA;NA;NA;NA;NA;NA;0.24633;14041;118.998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;8;241.266;NA;NA;0.246378;NA;4.8e-05;3;241.263;4.8e-05;3;241.472;NA;NA;NA;NA;NA;NA;0.24633;14041;240.957;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;replicated-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;10;542.446;NA;NA;0.246378;NA;4.8e-05;3;542.257;4.8e-05;3;542.46;NA;NA;NA;NA;NA;NA;0.24633;14041;542.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;1920;1920;1920;NA;NA;244170;19141;30;0;1.32237;NA;NA;0.4941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49218;14011;1.21631;NA;NA;NA;0.00192;30;0.00278482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;2;25.8559;NA;NA;0.4941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49218;14011;25.7055;NA;NA;NA;0.00192;30;0.00453852;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;4;122.269;NA;NA;0.4941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49218;14011;121.67;NA;NA;NA;0.00192;30;0.419423;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;6;300.658;NA;NA;0.4941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49218;14011;299.982;NA;NA;NA;0.00192;30;0.480698;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;8;586.172;NA;NA;0.4941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49218;14011;585.231;NA;NA;NA;0.00192;30;0.701001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
rapla,tapa,valga;35_set_intersection;BINARY;semihonest;ccd;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;10;983.34;NA;NA;0.4941;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49218;14011;981.333;NA;NA;NA;0.00192;30;1.75856;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
