comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.73          228                1                  0    1        128       2         1         0         3         40960       0           0           0.000363     NA          0.006138          0.005623            0.005622           0.01                 5             70
0.02          3                  1                  0    1        128       2         1         0         3         40960       0           1           .000048      NA          .001017           .001475             .001475            0.03                 6             212
2.75          233                1                  0    1        128       2         1         0         4         4096        0           0           0.000046     NA          0.000944          0.000600            0.000599           0.01                 3             40
0.02          3                  1                  0    1        128       2         1         0         4         4096        0           1           .000009      NA          .000165           .000368             .000367            0.02                 4             158
2.74          228                1                  0    1        128       2         1         0         4         8192        0           0           0.000073     NA          0.002083          0.001368            0.001367           0.01                 4             43
0.02          3                  1                  0    1        128       2         1         0         4         8192        0           1           .000015      NA          .000268           .000572             .000572            0.02                 4             156
2.74          229                1                  0    1        128       2         1         0         4         12288       0           0           0.000124     NA          0.003506          0.002686            0.002684           0.01                 4             66
0.02          3                  1                  0    1        128       2         1         0         4         12288       0           1           .000022      NA          .000457           .000517             .000517            0.01                 4             300
2.76          229                1                  0    1        128       2         1         0         4         16384       0           0           0.000148     NA          0.003683          0.003274            0.003274           0.02                 4             52
0.02          3                  1                  0    1        128       2         1         0         4         16384       0           1           .000029      NA          .000534           .000632             .000632            0.02                 5             266
2.72          230                1                  0    1        128       2         1         0         4         20480       0           0           0.000161     NA          0.003385          0.002893            0.002892           0.01                 4             61
0.02          3                  1                  0    1        128       2         1         0         4         20480       0           1           .000036      NA          .000601           .000881             .000880            0.02                 5             196
2.76          228                1                  0    1        128       2         1         0         4         24576       0           0           0.000229     NA          0.005350          0.004934            0.004933           0.02                 4             52
0.02          3                  1                  0    1        128       2         1         0         4         24576       0           1           .000043      NA          .000733           .001173             .001173            0.02                 5             240
2.76          228                1                  0    1        128       2         1         0         4         28672       0           0           0.000218     NA          0.004355          0.003904            0.003904           0.02                 5             45
0.02          3                  1                  0    1        128       2         1         0         4         28672       0           1           .000051      NA          .000816           .001239             .001239            0.02                 6             248
2.73          229                1                  0    1        128       2         1         0         4         32768       0           0           0.000247     NA          0.005122          0.004553            0.004551           0.01                 5             70
0.02          3                  1                  0    1        128       2         1         0         4         32768       0           1           .000054      NA          .000910           .001505             .001505            0.02                 6             231
2.73          228                1                  0    1        128       2         1         0         4         36864       0           0           0.000337     NA          0.008191          0.007731            0.007730           0.02                 5             71
0.02          3                  1                  0    1        128       2         1         0         4         36864       0           1           .000061      NA          .000983           .001671             .001671            0.03                 6             203
2.75          228                1                  0    1        128       2         1         0         4         40960       0           0           0.000370     NA          0.008790          0.008139            0.008138           0.01                 5             83
0.02          3                  1                  0    1        128       2         1         0         4         40960       0           1           .000066      NA          .001168           .001564             .001563            0.02                 7             272
2.75          229                1                  0    1        128       2         1         0         5         4096        0           0           0.000061     NA          0.001492          0.000811            0.000810           0.01                 3             80
0.02          3                  1                  0    1        128       2         1         0         5         4096        0           1           .000007      NA          .000163           .000145             .000145            0.01                 4             260
2.72          228                1                  0    1        128       2         1         0         5         8192        0           0           0.000045     NA          0.001402          0.000990            0.000989           0.01                 4             60
0.02          3                  1                  0    1        128       2         1         0         5         8192        0           1           .000012      NA          .000278           .000352             .000352            0.01                 4             250
2.74          228                1                  0    1        128       2         1         0         5         12288       0           0           0.000071     NA          0.002754          0.002128            0.002126           0.01                 4             66
0.02          3                  1                  0    1        128       2         1         0         5         12288       0           1           .000016      NA          .000342           .000483             .000483            0.02                 4             153
2.74          229                1                  0    1        128       2         1         0         5         16384       0           0           0.000083     NA          0.003082          0.002717            0.002716           0.01                 4             76
0.02          3                  1                  0    1        128       2         1         0         5         16384       0           1           .000022      NA          .000423           .000679             .000679            0.02                 4             188
2.73          228                1                  0    1        128       2         1         0         5         20480       0           0           0.000088     NA          0.002878          0.002403            0.002402           0.01                 4             72
0.02          3                  1                  0    1        128       2         1         0         5         20480       0           1           .000025      NA          .000505           .000880             .000880            0.02                 5             213
2.74          228                1                  0    1        128       2         1         0         5         24576       0           0           0.000124     NA          0.004684          0.004192            0.004190           0.01                 4             84
0.03          3                  1                  0    1        128       2         1         0         5         24576       0           1           .000032      NA          .000622           .000947             .000947            0.02                 5             255
2.75          229                1                  0    1        128       2         1         0         5         28672       0           0           0.000131     NA          0.005172          0.004740            0.004739           0.01                 5             84
0.02          3                  1                  0    1        128       2         1         0         5         28672       0           1           .000034      NA          .000742           .001024             .001024            0.02                 5             260
2.74          230                1                  0    1        128       2         1         0         5         32768       0           0           0.000132     NA          0.003957          0.003612            0.003611           0.02                 5             50
0.02          3                  1                  0    1        128       2         1         0         5         32768       0           1           .000037      NA          .000743           .001393             .001393            0.02                 5             210
2.74          229                1                  0    1        128       2         1         0         5         36864       0           0           0.000177     NA          0.006537          0.006007            0.006006           0.01                 5             85
0.02          3                  1                  0    1        128       2         1         0         5         36864       0           1           .000044      NA          .000931           .001286             .001286            0.03                 6             200
2.74          229                1                  0    1        128       2         1         0         5         40960       0           0           0.000160     NA          0.005112          0.004650            0.004649           0.01                 5             71
