program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;30;30;31.179;31.41;392;38;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;35;30;27.6339;27.86;390;40;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;40;30;25.5192;25.75;390;45;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;45;30;23.8141;24.04;392;49;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;50;30;23.4822;23.72;390;51;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;55;30;21.301;21.53;391;56;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;60;30;20.3541;20.59;392;56;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;65;30;19.5684;19.80;391;57;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;70;30;19.1862;19.41;392;64;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;75;30;18.3326;18.56;392;61;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;80;30;17.5604;17.79;389;67;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;85;30;17.2024;17.44;389;70;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;90;30;16.7323;16.96;391;67;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;95;30;16.4609;16.69;391;69;NA;76.1798;NA
32;BINARY;malhonest;ps-rep-bin;3;NA;NA;NA;100;30;16.5626;16.79;390;71;NA;76.1798;NA
32;BINARY;malhonest;mal-shamir-bmr;3;15.42;465;4;10;30;1922.44;1922.67;1787;6;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;15;30;1281.27;1281.51;1784;9;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;20;30;962.143;962.38;1786;11;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;25;30;771.539;771.77;1785;15;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;30;30;645.745;645.97;1783;16;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;35;30;556.684;556.92;1786;19;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;40;30;490.317;490.55;1781;21;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;45;30;438.683;438.91;1784;24;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;50;30;397.958;398.19;1787;25;NA;2202.77;NA
32;BINARY;malhonest;mal-shamir-bmr;3;NA;NA;NA;55;30;364.775;365.01;1783;27;NA;2202.77;NA
