nodes;program;c.domain;adv.model;protocol;comp.intbits;comp.inttriples;comp.vmrounds;cpus;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;2;2;350;27.9329;389;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;2;2;400;31.1877;390;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;2;1.8;10;2.30611;383;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;2;1.8;50;5.76136;383;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;2;1.8;100;9.67713;385;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;2;1.8;150;13.6234;386;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;2;1.8;200;19.1961;382;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;2;1.8;250;21.5653;388;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;2;1.8;300;25.9456;389;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;2;1.8;350;30.4576;387;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;2;1.8;400;34.4023;391;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;2;1.6;10;2.55858;374;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;2;1.6;50;6.41147;383;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;2;1.6;100;10.7536;385;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;2;1.6;150;15.1411;386;~5076;1215.17;3602.07
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;20800;12600;1404;2;1.6;200;19.5326;387;~6724;1576.47;4685.19
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;26000;15750;1754;2;1.6;250;23.9362;388;~8372;1937.77;5768.31
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;31200;18900;2104;2;1.6;300;28.9957;391;~10054;2344.23;6986.81
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;36400;22050;2454;2;1.6;350;33.7726;389;~11728;2750.63;8205.18
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;41600;25200;2804;2;1.6;400;38.1805;391;~13376;3111.93;9288.3
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;1040;630;74;1;3;10;3.04518;366;~446;176.474;488.193
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;5200;3150;354;1;3;50;7.75672;370;~1780;492.572;1435.84
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;10400;6300;704;1;3;100;13.1069;370;~3428;853.872;2518.96
valga,tapa,rapla;31_scalable_search;FIELD;maldishonest;mascot;15600;9450;1054;1;3;150;18.4601;376;~5076;1215.17;3602.07
