comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  datatype  optshare  packbool  protocol  input_size  preprocess  splitroles  inittime(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
2.92          230                1                  8         0         0         5         3584        0           0           0.003212     0.010343          0.016112            0.016111           0.03                 5             70
2.89          230                1                  8         0         0         5         4096        0           0           0.003711     0.011506          0.018345            0.018344           0.03                 5             64
2.89          231                1                  8         0         0         5         4608        0           0           0.004256     0.012877          0.020014            0.020013           0.03                 6             77
2.91          231                1                  8         0         0         5         5120        0           0           0.004896     0.013335          0.023617            0.023616           0.03                 6             71
2.90          232                1                  8         0         0         5         5632        0           0           0.005190     0.014746          0.024226            0.024225           0.04                 6             68
2.93          231                1                  8         0         0         5         6144        0           0           0.005812     0.016214          0.027062            0.027061           0.04                 6             68
2.91          230                1                  8         0         0         5         6656        0           0           0.006035     0.017475          0.027180            0.027178           0.04                 7             69
2.89          232                1                  8         0         0         5         7168        0           0           0.006968     0.018529          0.030183            0.030182           0.04                 9             75
2.90          231                1                  8         0         0         5         7680        0           0           0.005353     0.014100          0.029836            0.029835           0.04                 7             56
2.91          231                1                  8         0         0         5         8192        0           0           0.006005     0.015714          0.032960            0.032959           0.04                 7             58
2.87          231                1                  8         0         0         6         512         0           0           0.000167     0.001040          0.001357            0.001356           0.00                 3             55
2.87          230                1                  8         0         0         6         1024        0           0           0.000516     0.001376          0.002155            0.002154           0.00                 4             100
2.89          230                1                  8         0         0         6         1536        0           0           0.000740     0.001782          0.002820            0.002819           0.00                 5             88
2.86          231                1                  8         0         0         6         2048        0           0           0.000930     0.001852          0.003363            0.003363           0.01                 6             81
2.87          231                1                  8         0         0         6         2560        0           0           0.001127     0.002301          0.003790            0.003789           0.01                 4             66
2.87          231                1                  8         0         0         6         3072        0           0           0.001251     0.002336          0.004394            0.004393           0.00                 4             77
2.88          230                1                  8         0         0         6         3584        0           0           0.001686     0.002996          0.005343            0.005342           0.01                 5             84
2.88          230                1                  8         0         0         6         4096        0           0           0.001988     0.003546          0.006399            0.006398           0.01                 6             85
2.89          231                1                  8         0         0         6         4608        0           0           0.001902     0.003137          0.006277            0.006275           0.02                 5             59
2.88          229                1                  8         0         0         6         5120        0           0           0.002085     0.003289          0.007280            0.007279           0.02                 5             56
2.87          231                1                  8         0         0         6         5632        0           0           0.002694     0.005259          0.008631            0.008630           0.02                 7             80
2.87          230                1                  8         0         0         6         6144        0           0           0.003015     0.005287          0.009209            0.009208           0.02                 7             80
2.87          230                1                  8         0         0         6         6656        0           0           0.003235     0.005744          0.009833            0.009832           0.02                 5             80
2.88          231                1                  8         0         0         6         7168        0           0           0.003618     0.005929          0.009920            0.009919           0.02                 6             81
2.86          230                1                  8         0         0         6         7680        0           0           0.003733     0.006077          0.011541            0.011540           0.02                 6             75
2.87          231                1                  8         0         0         6         8192        0           0           0.003975     0.006887          0.013110            0.013109           0.02                 6             72
3.09          233                1                  64        0         0         1         512         0           0           0.000703     0.004772          0.013385            0.013384           0.02                 6             52
3.10          234                1                  64        0         0         1         1024        0           0           0.001420     0.009826          0.027506            0.027506           0.03                 8             50
3.10          233                1                  64        0         0         1         1536        0           0           0.001834     0.012052          0.037618            0.037617           0.04                 11            43
3.10          233                1                  64        0         0         1         2048        0           0           0.002734     0.019896          0.054524            0.054523           0.07                 13            48
3.14          233                1                  64        0         0         1         2560        0           0           0.003335     0.023555          0.060520            0.060519           0.07                 16            51
3.10          233                1                  64        0         0         1         3072        0           0           0.003133     0.023709          0.077369            0.077368           0.09                 18            41
3.09          232                1                  64        0         0         1         3584        0           0           0.004483     0.032557          0.089861            0.089860           0.11                 21            49
3.11          233                1                  64        0         0         1         4096        0           0           0.004968     0.038491          0.097350            0.097349           0.12                 23            52
3.10          232                1                  64        0         0         1         4608        0           0           0.004746     0.038188          0.112624            0.112623           0.13                 26            44
3.11          234                1                  64        0         0         1         5120        0           0           0.005956     0.044083          0.122953            0.122952           0.15                 28            48
3.12          234                1                  64        0         0         1         5632        0           0           0.006438     0.049156          0.140977            0.140976           0.17                 31            45
3.11          234                1                  64        0         0         1         6144        0           0           0.006414     0.052288          0.140730            0.140729           0.17                 33            48
3.10          234                1                  64        0         0         1         6656        0           0           0.006674     0.057067          0.151895            0.151894           0.19                 37            47
3.10          232                1                  64        0         0         1         7168        0           0           0.007382     0.064629          0.183227            0.183225           1.88                 40            5
3.10          233                1                  64        0         0         1         7680        0           0           0.007632     0.064083          0.188809            0.188808           0.23                 41            44
3.10          232                1                  64        0         0         1         8192        0           0           0.008541     0.068117          0.190572            0.190571           0.23                 47            47
3.07          233                1                  64        0         0         2         512         0           0           0.000897     0.004046          0.011022            0.011021           0.02                 6             50
3.06          233                1                  64        0         0         2         1024        0           0           0.002068     0.008256          0.021070            0.021069           0.03                 8             56
3.07          232                1                  64        0         0         2         1536        0           0           0.003081     0.011032          0.029418            0.029417           0.04                 10            53
3.08          233                1                  64        0         0         2         2048        0           0           0.003981     0.013391          0.037552            0.037551           0.05                 12            52
3.08          233                1                  64        0         0         2         2560        0           0           0.003936     0.015539          0.045698            0.045697           0.05                 15            47
3.07          233                1                  64        0         0         2         3072        0           0           0.005572     0.021563          0.056295            0.056294           0.07                 17            55
3.08          232                1                  64        0         0         2         3584        0           0           0.005529     0.023222          0.067152            0.067150           0.09                 19            51
3.07          233                1                  64        0         0         2         4096        0           0           0.006842     0.024847          0.072834            0.072833           0.09                 21            51
3.09          232                1                  64        0         0         2         4608        0           0           0.008005     0.030834          0.082701            0.082700           0.11                 24            51
3.07          234                1                  64        0         0         2         5120        0           0           0.008898     0.034261          0.097279            0.097279           0.12                 26            50
3.08          233                1                  64        0         0         2         5632        0           0           0.008077     0.036810          0.100026            0.100025           0.13                 30            48
3.10          234                1                  64        0         0         2         6144        0           0           0.009740     0.040751          0.111875            0.111874           0.14                 30            51
3.07          234                1                  64        0         0         2         6656        0           0           0.009981     0.044585          0.120584            0.120584           0.15                 34            50
3.07          234                1                  64        0         0         2         7168        0           0           0.011365     0.052193          0.133527            0.133526           0.17                 35            52
3.07          234                1                  64        0         0         2         7680        0           0           0.012151     0.053036          0.141663            0.141662           0.18                 39            51
3.07          232                1                  64        0         0         2         8192        0           0           0.012628     0.060051          0.156607            0.156606           0.20                 39            51
2.99          231                1                  64        0         0         3         512         0           0           0.000801     0.003147          0.012757            0.012756           0.02                 5             50
2.99          232                1                  64        0         0         3         1024        0           0           0.001581     0.004173          0.022147            0.022146           0.02                 7             35
3.00          231                1                  64        0         0         3         1536        0           0           0.002426     0.006970          0.033575            0.033574           0.05                 9             37
2.98          231                1                  64        0         0         3         2048        0           0           0.003450     0.008257          0.044632            0.044631           0.06                 12            38
2.98          231                1                  64        0         0         3         2560        0           0           0.004048     0.010466          0.054368            0.054367           0.07                 12            37
