comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  datatype  optshare  packbool  protocol  bandwidths(Mbs)  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.49          241                1                  1    128       1         0         2         10000            40960       0           0           0.007175     NA          0.321061          0.250635            0.250634           0.34                 326           121
0.01          3                  1                  1    128       1         0         2         10000            40960       0           1           .001305      NA          .047084           .045629             .045629            0.38                 326           589
1.50          240                1                  1    128       1         0         2         9500             40960       0           0           0.007128     NA          0.346125          0.261850            0.261849           0.36                 326           114
0.01          3                  1                  1    128       1         0         2         9500             40960       0           1           .001311      NA          .047011           .048059             .048059            0.41                 331           535
1.46          240                1                  1    128       1         0         2         9000             40960       0           0           0.007119     NA          0.301846          0.253573            0.253572           0.34                 326           114
0.01          3                  1                  1    128       1         0         2         9000             40960       0           1           .001357      NA          .046419           .046168             .046168            0.39                 326           558
1.50          240                1                  1    128       1         0         2         8500             40960       0           0           0.007131     NA          0.321061          0.242682            0.242681           0.34                 326           123
0.01          3                  1                  1    128       1         0         2         8500             40960       0           1           .001325      NA          .046952           .046987             .046987            0.43                 326           527
1.48          241                1                  1    128       1         0         2         8000             40960       0           0           0.007119     NA          0.327687          0.248056            0.248056           0.35                 326           120
0.01          3                  1                  1    128       1         0         2         8000             40960       0           1           .001361      NA          .045023           .051427             .051427            0.43                 326           497
1.48          240                1                  1    128       1         0         3         25000            40960       0           0           0.002312     NA          0.205805          0.260273            0.260272           0.35                 206           84
0.01          3                  1                  1    128       1         0         3         25000            40960       0           1           .000442      NA          .037687           .042805             .042805            0.38                 325           496
1.47          242                1                  1    128       1         0         3         24500            40960       0           0           0.002310     NA          0.199904          0.257922            0.257920           0.34                 206           83
0.01          3                  1                  1    128       1         0         3         24500            40960       0           1           .000443      NA          .039246           .044434             .044434            0.37                 325           518
1.47          240                1                  1    128       1         0         3         24000            40960       0           0           0.002310     NA          0.199021          0.257691            0.257690           0.34                 206           84
0.01          3                  1                  1    128       1         0         3         24000            40960       0           1           .000439      NA          .038281           .044399             .044399            0.38                 325           489
1.49          241                1                  1    128       1         0         3         23500            40960       0           0           0.002304     NA          0.196645          0.269299            0.269298           0.36                 206           80
0.01          3                  1                  1    128       1         0         3         23500            40960       0           1           .000444      NA          .036673           .041865             .041865            0.36                 325           509
1.47          240                1                  1    128       1         0         3         23000            40960       0           0           0.002311     NA          0.197031          0.262360            0.262358           0.35                 206           80
0.01          3                  1                  1    128       1         0         3         23000            40960       0           1           .000441      NA          .034695           .044006             .044006            0.38                 325           456
1.45          241                1                  1    128       1         0         3         22500            40960       0           0           0.002309     NA          0.199225          0.251388            0.251387           0.34                 206           84
0.01          3                  1                  1    128       1         0         3         22500            40960       0           1           .000441      NA          .038622           .046361             .046361            0.40                 325           480
1.48          241                1                  1    128       1         0         3         22000            40960       0           0           0.002310     NA          0.147664          0.263880            0.263878           0.35                 206           66
0.01          3                  1                  1    128       1         0         3         22000            40960       0           1           .000439      NA          .038812           .043905             .043905            0.38                 325           503
1.48          241                1                  1    128       1         0         3         21500            40960       0           0           0.002311     NA          0.203050          0.259194            0.259193           0.35                 206           85
0.01          3                  1                  1    128       1         0         3         21500            40960       0           1           .000443      NA          .037536           .044427             .044427            0.39                 325           475
1.50          241                1                  1    128       1         0         3         21000            40960       0           0           0.002308     NA          0.153081          0.258318            0.258317           0.34                 206           69
0.01          3                  1                  1    128       1         0         3         21000            40960       0           1           .000445      NA          .036935           .043652             .043652            0.37                 325           486
1.48          241                1                  1    128       1         0         3         20500            40960       0           0           0.002310     NA          0.210397          0.268190            0.268189           0.36                 206           82
0.01          3                  1                  1    128       1         0         3         20500            40960       0           1           .000442      NA          .038749           .043602             .043601            0.37                 325           505
1.49          241                1                  1    128       1         0         3         20000            40960       0           0           0.002311     NA          0.198641          0.253597            0.253596           0.34                 206           84
0.01          3                  1                  1    128       1         0         3         20000            40960       0           1           .000438      NA          .037435           .043103             .043103            0.38                 325           482
1.48          241                1                  1    128       1         0         3         19500            40960       0           0           0.002314     NA          0.204169          0.265620            0.265619           0.35                 206           83
0.01          3                  1                  1    128       1         0         3         19500            40960       0           1           .000437      NA          .037280           .046042             .046041            0.40                 325           461
1.45          241                1                  1    128       1         0         3         19000            40960       0           0           0.002309     NA          0.197814          0.257203            0.257202           0.34                 206           83
0.01          3                  1                  1    128       1         0         3         19000            40960       0           1           .000442      NA          .035428           .044548             .044548            0.38                 325           473
