program  c.domain  adv.model      protocol           partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 25               30          37.152               37.26                387           43         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 30               30          31.708               31.81                388           44         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 35               30          31.0108              31.12                387           51         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 40               30          28.6537              28.76                387           54         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 45               30          27.2682              27.37                388           57         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 50               30          25.0718              25.18                388           59         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 55               30          25.3745              25.48                387           63         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 60               30          23.808               23.92                389           67         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 65               30          16.2249              16.33                387           34         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 70               30          23.0735              23.18                389           69         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 75               30          21.3664              21.47                388           70         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 80               30          20.6666              20.77                389           66         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 85               30          20.3231              20.44                389           70         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 90               30          20.8086              20.91                387           72         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 95               30          21.167               21.28                388           77         NA            71.3718         NA
33       BINARY    malhonest      ps-rep-bin         3          NA            NA                 NA                 100              30          20.3171              20.42                389           73         NA            71.3718         NA
33       BINARY    malhonest      mal-shamir-bmr     3          7.56          376                3                  10               30          435.501              435.60               1221          11         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 15               30          296.582              296.70               1218          16         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 20               30          227.329              227.44               1221          21         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 25               30          186.245              186.35               1219          26         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 30               30          157.909              158.01               1222          31         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 35               30          138.485              138.60               1219          36         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 40               30          123.151              123.26               1222          38         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 45               30          111.648              111.78               1220          43         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 50               30          102.937              103.04               1219          48         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 55               30          94.6641              94.77                1218          49         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 60               30          89.5427              89.64                1220          55         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 65               30          82.3647              82.48                1218          39         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 70               30          81.226               81.34                1220          60         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 75               30          77.35                77.46                1217          63         NA            1035.74         NA
33       BINARY    malhonest      mal-shamir-bmr     3          NA            NA                 NA                 80               30          73.9355              74.04                1221          66         NA            1035.74         NA
