program  c.domain  adv.model      protocol        partysize  comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  comp.P0intin  comp.P1intin  comp.P2intin  comp.P0bitin  comp.P1bitin  compP2bitin  comp.intbits  comp.inttriples  comp.bittriples  comp.vmrounds  freqs(GHz)  bandwidths(Mbs)  input_size  runtime_internal(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)  P0commRounds  P0dataSent(MB)  ALLdataSent(MB)  Tx(MB)   Tx(rounds)  Tx(s)      Rx(MB)   Rx(rounds)  Rx(s)     Brcasting(MB)  Brcasting(rounds)  Brcasting(s)  TxRx(MB)  TxRx(rounds)  TxRx(s)  Passing(MB)  Passing(rounds)  Passing(s)  Part.Brcasting(MB)  Part.Brcasting(rounds)  Part.Brcasting(s)  Ex(MB)  Ex(rounds)  Ex(s)  Ex1to1(MB)  Ex1to1(rounds)  Ex1to1(s)  Rx1to1(MB)  Rx1to1(rounds)  Rx1to1(s)  Tx1to1(MB)  Tx1to1(rounds)  Tx1to1(s)  Txtoall(MB)  Txtoall(rounds)  Txtoall(s)
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.3         600              4096        0.732313             3.37                 290           95         NA            8.25754         NA               8.25754  4           0.108514   8e-06    1           0.180147  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.3         400              4096        0.827137             3.45                 290           95         NA            8.25754         NA               8.25754  4           0.163146   8e-06    1           0.182378  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.3         200              4096        0.981488             3.60                 290           95         NA            8.25754         NA               8.25754  4           0.326783   8e-06    1           0.185783  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semidishonest  yao             2          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             1.3         50               4096        2.01699              4.71                 290           95         NA            8.25754         NA               8.25754  4           1.28848    8e-06    1           0.188779  NA             NA                 NA            NA        NA            NA       NA           NA               NA          NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          240.12        5651               44                 NA            NA            NA            262144        64            NA           NA            NA               258048           4105           2.5         3000             4096        0.140488             1.76                 290           98         NA            0.520248        NA               4.8e-05  3           0.135739   4.8e-05  3           0.140698  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0117066   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         1000             4096        0.143765             1.80                 290           96         NA            0.520248        NA               4.8e-05  3           0.138881   4.8e-05  3           0.144138  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0131741   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         800              4096        0.13965              1.76                 290           98         NA            0.520248        NA               4.8e-05  3           0.135307   4.8e-05  3           0.139805  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0110569   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         600              4096        0.141057             1.79                 290           96         NA            0.520248        NA               4.8e-05  3           0.136439   4.8e-05  3           0.140969  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0148355   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         400              4096        0.142635             1.78                 290           98         NA            0.520248        NA               4.8e-05  3           0.138394   4.8e-05  3           0.142506  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0162027   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
42       BINARY    semihonest     replicated-bin  3          NA            NA                 NA                 NA            NA            NA            NA            NA            NA           NA            NA               NA               NA             2.5         200              4096        0.152878             1.79                 292           97         NA            0.520248        NA               4.8e-05  3           0.148246   4.8e-05  3           0.153135  NA             NA                 NA            NA        NA            NA       0.5202       8                0.0198604   NA                  NA                      NA                 NA      NA          NA     NA          NA              NA         NA          NA              NA         NA          NA              NA         NA           NA               NA
