nodes;program;c.domain;adv.model;protocol;partysize;comp.P0intin;comp.P1intin;comp.P2intin;comp.P0bitin;comp.P1bitin;compP2bitin;comp.intbits;comp.inttriples;comp.bittriples;comp.vmrounds;freqs(GHz);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB);Tx(MB);Tx(rounds);Tx(s);Rx(MB);Rx(rounds);Rx(s);Brcasting(MB);Brcasting(rounds);Brcasting(s);TxRx(MB);TxRx(rounds);TxRx(s);Passing(MB);Passing(rounds);Passing(s);Part.Brcasting(MB);Part.Brcasting(rounds);Part.Brcasting(s);Ex(MB);Ex(rounds);Ex(s);Ex1to1(MB);Ex1to1(rounds);Ex1to1(s);Rx1to1(MB);Rx1to1(rounds);Rx1to1(s);Tx1to1(MB);Tx1to1(rounds);Tx1to1(s);Txtoall(MB);Txtoall(rounds);Txtoall(s)
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;40;1.91313;NA;NA;7.66726;NA;4.8e-05;3;1.90996;4.8e-05;3;1.91272;0.000116;5;0.00140469;NA;NA;NA;7.66698;24324;1.74572;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;50;2.99597;NA;NA;11.4086;NA;4.8e-05;3;2.99191;4.8e-05;3;2.99623;0.000116;5;0.00173956;NA;NA;NA;11.4083;37404;2.75151;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;60;4.3684;NA;NA;16.7925;NA;6.4e-05;4;1.30787;6.4e-05;4;4.36862;0.0002;8;0.00224584;NA;NA;NA;16.792;53287;3.99137;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;70;5.73742;NA;NA;22.1595;NA;6.4e-05;4;2.79816;6.4e-05;4;5.7364;0.0002;8;0.00336418;NA;NA;NA;22.159;71967;5.26794;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;80;7.50679;NA;NA;29.1689;NA;8e-05;5;1.53577;8e-05;5;7.5064;0.000284;11;0.00371199;NA;NA;NA;29.1683;93450;6.86727;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;90;9.48246;NA;NA;36.9912;NA;9.6e-05;6;0.521392;9.6e-05;6;9.48145;0.000368;14;0.00536116;NA;NA;NA;36.9904;117733;8.70625;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;100;11.8333;NA;NA;44.7966;NA;9.6e-05;6;2.73067;9.6e-05;6;11.8325;0.000368;14;0.00412698;NA;NA;NA;44.7957;144813;10.8627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;110;14.2479;NA;NA;54.2445;NA;0.000112;7;2.1421;0.000112;7;14.248;0.000452;17;0.00532264;NA;NA;NA;54.2434;174696;13.1173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;120;17.6008;NA;NA;64.5051;NA;0.000128;8;1.92887;0.000128;8;17.6005;0.000536;20;0.00654664;NA;NA;NA;64.5039;207379;16.2243;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;130;19.5332;NA;NA;75.5786;NA;0.000144;9;1.68861;0.000144;9;19.5331;0.00062;23;0.00777685;NA;NA;NA;75.5772;242862;17.9378;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;140;22.523;NA;NA;87.4649;NA;0.00016;10;1.8971;0.00016;10;22.5225;0.000704;26;0.00754177;NA;NA;NA;87.4633;281145;20.6744;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;150;25.9765;NA;NA;100.164;NA;0.000176;11;2.2112;0.000176;11;25.9763;0.000788;29;0.0103751;NA;NA;NA;100.162;322228;23.8725;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
todd,ned,rod;35_set_intersection;BINARY;malhonest;malicious-rep-bin;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.2;160;29.883;NA;NA;113.676;NA;0.000192;12;2.76602;0.000192;12;29.8836;0.000872;32;0.0113669;NA;NA;NA;113.674;366111;27.5207;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
