program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);cpus;freqs(GHz);quotas(%);latencies(ms);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;240;50;9;4.17189;7.45;16;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;240;100;3;1.10364;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;240;100;6;3.81062;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;240;100;9;8.32241;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;120;50;3;0.554605;3.84;14;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;120;50;6;1.91096;5.19;14;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;120;50;9;4.17336;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;120;100;3;1.10434;7.59;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;120;100;6;3.811;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;120;100;9;8.32242;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;60;50;3;0.553614;3.83;13;1;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;60;50;6;1.91121;5.19;14;1;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;60;50;9;4.1727;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;60;100;3;1.1041;7.58;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;60;100;6;3.8105;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;2;2;60;100;9;8.32233;14.80;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;240;50;3;0.553594;3.83;13;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;240;50;6;1.91082;5.18;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;240;50;9;4.17224;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;240;100;3;1.10354;7.58;15;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;240;100;6;3.8111;10.29;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;240;100;9;8.32154;14.80;13;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;120;50;3;0.553631;3.83;14;0;~10;0.000576;0.001728
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;120;50;6;1.90973;5.18;14;0;~37;0.002304;0.006912
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;120;50;9;4.17139;7.45;14;0;~82;0.005184;0.015552
32;FIELD;malhonest;malicious-shamir;3;NA;NA;NA;1;2.6;120;100;3;1.1034;7.58;15;0;~10;0.000576;0.001728
