nodes;program;c.domain;adv.model;protocol;partysize;cpus;freqs(GHz);quotas(%);input_size;runtime(s);maxPhyRAM(MiB);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;1400;38.1728;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;1600;46.7575;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;1800;48.8608;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;240;2000;53.9707;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;10;0.524403;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;200;5.53303;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;400;11.6849;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;600;16.5201;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;800;21.9057;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;1000;27.079;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;1200;32.5524;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;1400;38.0046;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;1600;46.7333;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;1800;48.9962;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;180;2000;54.0465;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;10;0.571607;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;200;5.58626;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;400;11.076;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;600;16.4286;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;800;21.8725;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;1000;28.5947;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;1200;32.8013;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;1400;38.1506;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;1600;43.4021;NA;~47216;2214.89;6627.44
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;1800;52.2375;NA;~53120;2495.86;7468.18
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;120;2000;54.2953;NA;~59008;2760.37;8259.6
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;10;0.990745;NA;~316;24.7696;74.1397
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;200;9.00515;NA;~5912;280.97;840.746
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;400;17.4224;NA;~11816;561.939;1681.49
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;600;25.5905;NA;~17716;834.709;2497.64
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;800;33.994;NA;~23620;1115.68;3338.38
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;1000;42.8584;NA;~29508;1380.18;4129.8
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;1200;52.0965;NA;~35412;1661.15;4970.55
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;1400;59.8093;NA;~41316;1942.12;5811.29
bitcoin,bitcoincash,bitcoingold;35_set_intersection;FIELD;semidishonest;semi;3;16;1.7;60;1600;67.8033;NA;~47216;2214.89;6627.44
