comp.time(s)  comp.peakRAM(MiB)  bin.filesize(MiB)  ssl  threads  datatype  function  optshare  packbool  protocol  rxbuffer  txbuffer  input_size  preprocess  splitroles  inittime(s)  preproc(s)  runtime_clock(s)  runtime_getTime(s)  runtime_chrono(s)  runtime_external(s)  peakRAM(MiB)  jobCPU(%)
1.46          232                1                  0    8        256       0         1         0         3         0         0         40960       0           0           0.001826     NA          0.169614          0.668658            0.668658           0.79                 401           281
0.02          3                  1                  0    8        256       0         1         0         3         0         0         40960       0           1           .000066      NA          .010261           .020963             .020963            .029791              639           2152
0.02          3                  1                  0    8        256       0         1         0         3         0         0         40960       0           2           .000035      NA          .006218           .023052             .023052            .029930              639           3659
1.40          232                1                  0    8        256       0         1         0         4         0         0         40960       0           0           0.002011     NA          0.171095          0.562195            0.562194           0.68                 400           318
0.02          3                  1                  0    8        256       0         1         0         4         0         0         40960       0           1           .000072      NA          .006770           .019192             .019192            .025625              558           1877
0.02          3                  1                  0    8        256       0         1         0         4         0         0         40960       0           2           .000035      NA          .004198           .017909             .017908            .025000              558           3230
1.43          232                1                  0    8        256       0         1         0         5         0         0         40960       0           0           0.001844     NA          0.200414          0.625823            0.625822           0.74                 481           325
0.02          3                  1                  0    8        256       0         1         0         5         0         0         40960       0           1           .000069      NA          .010713           .020710             .020710            .028541              559           2312
0.02          3                  1                  0    8        256       0         1         0         5         0         0         40960       0           2           .000035      NA          .006158           .021288             .021288            .028888              559           3767
1.43          232                1                  0    8        256       0         1         0         6         0         0         40960       0           0           0.000954     NA          0.085516          0.254155            0.254154           0.38                 323           401
0.02          3                  1                  0    8        256       0         1         0         6         0         0         40960       0           1           .000017      NA          .004432           .006257             .006257            .011458              323           3433
0.02          3                  1                  0    8        256       0         1         0         6         0         0         40960       0           2           .000007      NA          .002497           .006469             .006469            .011527              323           5717
1.45          228                1                  0    10       128       0         1         0         1         0         0         40960       0           0           0.007670     NA          0.243144          0.287428            0.287427           0.38                 320           839
0.02          3                  1                  0    10       128       0         1         0         1         0         0         40960       0           1           .000228      NA          .009603           .019484             .019484            .024000              320           2889
0.02          3                  1                  0    10       128       0         1         0         1         0         0         40960       0           2           .000081      NA          .004967           .020187             .020187            .024000              323           4405
1.41          229                1                  0    10       128       0         1         0         2         0         0         40960       0           0           0.007921     NA          0.208589          0.386146            0.386146           0.49                 321           589
